Redshift,Scale Factor,34 snapshots,91 snapshots
14.99,0.063,None,0
13.34,0.07,None,1
11.98,0.077,None,2
11.2,0.082,None,3
10.48,0.087,None,4
9.69,0.094,None,5
9,0.1,None,6
8.49,0.105,None,7
8.01,0.111,None,8
7.6,0.116,None,9
7.24,0.121,None,10
6.89,0.127,None,11
6.56,0.132,None,12
6.28,0.137,None,13
6.01,0.143,0,14
5.75,0.148,None,15
5.5,0.154,None,16
5.23,0.161,None,17
5,0.167,1,18
4.8,0.172,None,19
4.61,0.178,None,20
4.45,0.183,None,21
4.3,0.189,None,22
4.15,0.194,None,23
4.01,0.2,2,24
3.87,0.205,None,25
3.73,0.211,None,26
3.62,0.216,None,27
3.49,0.223,3,28
3.36,0.229,None,29
3.24,0.236,None,30
3.12,0.242,None,31
3.01,0.249,4,32
2.9,0.257,None,33
2.8,0.263,5,34
2.72,0.269,None,35
2.63,0.276,6,36
2.54,0.282,None,37
2.46,0.289,7,38
2.38,0.296,None,39
2.3,0.303,8,40
2.22,0.31,None,41
2.15,0.318,9,42
2.07,0.325,None,43
2,0.333,10,44
1.93,0.341,None,45
1.86,0.349,11,46
1.8,0.358,None,47
1.73,0.366,12,48
1.67,0.375,None,49
1.6,0.384,13,50
1.54,0.393,None,51
1.48,0.403,14,52
1.43,0.412,None,53
1.37,0.422,15,54
1.3,0.434,None,55
1.26,0.443,16,56
1.2,0.455,None,57
1.14,0.466,17,58
1.09,0.478,None,59
1.05,0.489,18,60
1,0.501,None,61
0.95,0.513,19,62
0.9,0.525,None,63
0.86,0.538,20,64
0.82,0.55,None,65
0.77,0.564,21,66
0.73,0.577,None,67
0.69,0.591,22,68
0.65,0.605,None,69
0.61,0.62,23,70
0.58,0.635,None,71
0.54,0.65,24,72
0.5,0.665,None,73
0.47,0.681,25,74
0.43,0.698,None,75
0.4,0.714,26,76
0.37,0.731,None,77
0.34,0.749,27,78
0.3,0.771,None,79
0.27,0.789,28,80
0.24,0.808,None,81
0.21,0.827,29,82
0.18,0.847,None,83
0.15,0.867,30,84
0.13,0.888,None,85
0.1,0.91,31,86
0.07,0.931,None,87
0.05,0.954,32,88
0.02,0.977,None,89
0,1,33,90
